,HOOD,Neighbourhood Number,"Population, 2016",Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Highlight
64,Forest Hill North,102,12806,43.6935586,-79.41390229999999,1,Playground,Arts & Crafts Store,Bank,Park,Distribution Center,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Outdoors/Fitness/Fast Food
65,Forest Hill South,101,10732,43.6935586,-79.41390229999999,1,Playground,Arts & Crafts Store,Bank,Park,Distribution Center,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Outdoors/Fitness/Fast Food
67,Guildwood,140,9917,43.7552251,-79.1982293,0,Train Station,Storage Facility,Baseball Field,Yoga Studio,Distribution Center,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Cafes/Bakeries/ Mediterranean
68,Henry Farm,53,15723,43.7695089,-79.35429599999999,1,Restaurant,Park,Tennis Court,Yoga Studio,Discount Store,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Outdoors/Fitness/Fast Food
69,High Park North,88,22162,43.6573833,-79.470961,1,Park,Convenience Store,Gym / Fitness Center,Baseball Field,Tennis Court,Distribution Center,Farmers Market,Farm,Event Space,Electronics Store,Outdoors/Fitness/Fast Food
70,High Park-Swansea,87,23925,43.644940000000005,-79.478313,1,Park,Pilates Studio,Dance Studio,Skating Rink,Bus Line,Yoga Studio,Distribution Center,Farm,Event Space,Electronics Store,Outdoors/Fitness/Fast Food
71,Highland Creek,134,12494,43.790117200000005,-79.1733344,1,Park,IT Services,Discount Store,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Eastern European Restaurant,Outdoors/Fitness/Fast Food
72,Hillcrest Village,48,16934,43.7996637,-79.3650189,2,Bank,Shopping Mall,Coffee Shop,Pharmacy,Pizza Place,Grocery Store,Ice Cream Shop,Korean Restaurant,Sandwich Place,Park,"Services (Banking, Hotels, Shopping)"
73,Humber Heights-Westmount,8,10948,43.6860721,-79.5288038497315,0,Bank,Plaza,Restaurant,Pizza Place,Bakery,Gas Station,Café,Convenience Store,Dance Studio,Distribution Center,Cafes/Bakeries/ Mediterranean
74,Humber Summit,21,12416,43.7600778,-79.5717598,1,Park,Construction & Landscaping,Gym,Bakery,Distribution Center,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Outdoors/Fitness/Fast Food
75,Ionview,125,13641,43.7359904,-79.2765146,1,Deli / Bodega,Park,Metro Station,Construction & Landscaping,Cuban Restaurant,Dumpling Restaurant,Fast Food Restaurant,Farmers Market,Farm,Cosmetics Shop,Outdoors/Fitness/Fast Food
76,Junction Area,90,14366,43.6654775,-79.470352,0,Yoga Studio,Speakeasy,Arts & Crafts Store,Bakery,Furniture / Home Store,Grocery Store,Ice Cream Shop,Indian Restaurant,Italian Restaurant,Deli / Bodega,Cafes/Bakeries/ Mediterranean
77,Keelesdale-Eglinton West,110,11058,43.6901578,-79.4749985,0,Construction & Landscaping,Convenience Store,Restaurant,Sandwich Place,Discount Store,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Cafes/Bakeries/ Mediterranean
78,Kennedy Park,124,17123,43.724878000000004,-79.2539688,2,Fast Food Restaurant,Chinese Restaurant,Grocery Store,Asian Restaurant,Yoga Studio,Distribution Center,Farmers Market,Farm,Event Space,Electronics Store,"Services (Banking, Hotels, Shopping)"
79,Kensington-Chinatown,78,17945,43.654999,-79.3990359,0,Café,Vietnamese Restaurant,Mexican Restaurant,Organic Grocery,Dessert Shop,Arts & Crafts Store,Bakery,Yoga Studio,Dumpling Restaurant,Fast Food Restaurant,Cafes/Bakeries/ Mediterranean
80,Kingsway South,15,9271,43.6473811,-79.51133279999999,0,Dessert Shop,Pizza Place,Breakfast Spot,Pool Hall,Italian Restaurant,Sushi Restaurant,Gastropub,Seafood Restaurant,Tapas Restaurant,Discount Store,Cafes/Bakeries/ Mediterranean
81,L'Amoreaux,117,43993,43.799003000000006,-79.30596690000002,2,Gift Shop,Coffee Shop,Vietnamese Restaurant,Pharmacy,Indian Restaurant,Chinese Restaurant,Athletics & Sports,Egyptian Restaurant,Dog Run,Dumpling Restaurant,"Services (Banking, Hotels, Shopping)"
82,Lansing-Westgate,38,16164,43.758563099999996,-79.4098485,2,Grocery Store,Burger Joint,Poke Place,Coffee Shop,Japanese Restaurant,Dog Run,Thai Restaurant,Distribution Center,Farmers Market,Farm,"Services (Banking, Hotels, Shopping)"
83,Lawrence Park North,105,14607,43.729199,-79.40325250000001,0,Bakery,Tea Room,Toy / Game Store,BBQ Joint,Bubble Tea Shop,Ice Cream Shop,Burger Joint,Sushi Restaurant,Asian Restaurant,Dumpling Restaurant,Cafes/Bakeries/ Mediterranean
84,Lawrence Park South,103,15179,43.729199,-79.40325250000001,0,Bakery,Tea Room,Toy / Game Store,BBQ Joint,Bubble Tea Shop,Ice Cream Shop,Burger Joint,Sushi Restaurant,Asian Restaurant,Dumpling Restaurant,Cafes/Bakeries/ Mediterranean
85,Leaside-Bennington,56,16828,43.70413035,-79.3743162410782,0,Bakery,Restaurant,Indian Restaurant,Fish Market,Sporting Goods Shop,Sushi Restaurant,Thai Restaurant,Smoke Shop,Ice Cream Shop,Dance Studio,Cafes/Bakeries/ Mediterranean
86,Little Portugal,84,15559,43.64741325,-79.43111632546051,0,Restaurant,Coffee Shop,Cocktail Bar,Café,Athletics & Sports,Thai Restaurant,Health & Beauty Service,Wine Bar,Boutique,Department Store,Cafes/Bakeries/ Mediterranean
87,Long Branch,19,10084,43.59200455,-79.5453645065959,0,Café,Park,Burger Joint,Burrito Place,Liquor Store,Seafood Restaurant,Discount Store,South American Restaurant,Pharmacy,Department Store,Cafes/Bakeries/ Mediterranean
88,Malvern,132,43794,43.8091955,-79.2217008,2,Fast Food Restaurant,Pharmacy,Pizza Place,Sandwich Place,Grocery Store,Bubble Tea Shop,Skating Rink,Health & Beauty Service,Egyptian Restaurant,Eastern European Restaurant,"Services (Banking, Hotels, Shopping)"
89,Maple Leaf,29,10111,43.712276700000004,-79.49019770000001,0,Bakery,Yoga Studio,Dog Run,Field,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Cafes/Bakeries/ Mediterranean
90,Markland Woods,12,10554,43.63123865,-79.5854340198611,1,Piano Bar,Baseball Field,Golf Course,Park,Yoga Studio,Distribution Center,Farmers Market,Farm,Event Space,Electronics Store,Outdoors/Fitness/Fast Food
91,Milliken,130,26572,43.8231743,-79.30176259999999,0,Bakery,Gym,Hong Kong Restaurant,Dumpling Restaurant,Vietnamese Restaurant,Sushi Restaurant,Noodle House,Chinese Restaurant,Japanese Restaurant,Egyptian Restaurant,Cafes/Bakeries/ Mediterranean
93,Moss Park,73,20506,43.654643799999995,-79.36972779999999,0,Italian Restaurant,Coffee Shop,Hotel,Middle Eastern Restaurant,Café,Diner,Restaurant,German Restaurant,Design Studio,Dumpling Restaurant,Cafes/Bakeries/ Mediterranean
