,HOOD,Neighbourhood Number,"Population, 2016",Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Highlight
121,Steeles,116,24623,43.8161778,-79.3145378,0,Playground,Yoga Studio,Distribution Center,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Eastern European Restaurant,Cafes/Bakeries/ Mediterranean
122,Stonegate-Queensway,16,25051,43.62195,-79.5234993,0,Burrito Place,Yoga Studio,Grocery Store,Middle Eastern Restaurant,Sushi Restaurant,Bank,Asian Restaurant,Thai Restaurant,Gym,Eastern European Restaurant,Cafes/Bakeries/ Mediterranean
123,Tam O'Shanter-Sullivan,118,27446,43.7792521,-79.3076282,0,Noodle House,Shopping Mall,Park,Intersection,Italian Restaurant,Seafood Restaurant,Sandwich Place,Bank,Gas Station,Yoga Studio,Cafes/Bakeries/ Mediterranean
124,Taylor-Massey,61,15683,43.6976474,-79.3011926,1,Park,Pizza Place,Chinese Restaurant,Pet Store,Grocery Store,Discount Store,Farm,Event Space,Electronics Store,Egyptian Restaurant,Outdoors/Fitness/Fast Food
125,The Beaches,63,21567,43.6710244,-79.296712,1,Park,Beach,Juice Bar,Toy / Game Store,Diner,Liquor Store,Tea Room,Nail Salon,Mediterranean Restaurant,Event Space,Outdoors/Fitness/Fast Food
126,Thorncliffe Park,55,21108,43.704553000000004,-79.3454074,2,Yoga Studio,Turkish Restaurant,Fast Food Restaurant,Burger Joint,Indian Restaurant,Gym,Pharmacy,Afghan Restaurant,Warehouse Store,Sandwich Place,"Services (Banking, Hotels, Shopping)"
127,Trinity-Bellwoods,81,16556,43.64756465,-79.4138809026667,0,Café,Art Gallery,Seafood Restaurant,Paper / Office Supplies Store,Italian Restaurant,Park,Bakery,Bookstore,American Restaurant,Electronics Store,Cafes/Bakeries/ Mediterranean
128,University,79,7607,51.0799815,-114.122925368078,2,Coffee Shop,Noodle House,Bank,Train Station,Dog Run,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,"Services (Banking, Hotels, Shopping)"
129,Victoria Village,43,17510,43.732658,-79.3111892,0,Middle Eastern Restaurant,Bus Line,Thai Restaurant,Yoga Studio,Filipino Restaurant,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Cafes/Bakeries/ Mediterranean
130,West Hill,136,27392,43.7689144,-79.1872905,2,Breakfast Spot,Pharmacy,Pizza Place,Sports Bar,Beer Store,Restaurant,Food & Drink Shop,Fried Chicken Joint,Juice Bar,Liquor Store,"Services (Banking, Hotels, Shopping)"
131,Weston,113,17992,43.70016079999999,-79.5162474,2,Coffee Shop,Train Station,Pharmacy,Diner,Skating Rink,Fried Chicken Joint,Bank,Pizza Place,Greek Restaurant,Dessert Shop,"Services (Banking, Hotels, Shopping)"
132,Willowdale East,51,50434,43.761509499999995,-79.4109234,0,Grocery Store,Burger Joint,Poke Place,Pizza Place,Sushi Restaurant,Bakery,Japanese Restaurant,Thai Restaurant,Dance Studio,Dumpling Restaurant,Cafes/Bakeries/ Mediterranean
133,Willowdale West,37,16936,43.761509499999995,-79.4109234,0,Grocery Store,Burger Joint,Poke Place,Pizza Place,Sushi Restaurant,Bakery,Japanese Restaurant,Thai Restaurant,Dance Studio,Dumpling Restaurant,Cafes/Bakeries/ Mediterranean
134,Woburn,137,53485,43.7598243,-79.2252908,2,Bank,Pizza Place,Gym,Discount Store,Sandwich Place,Paper / Office Supplies Store,Fast Food Restaurant,Pharmacy,Vietnamese Restaurant,Creperie,"Services (Banking, Hotels, Shopping)"
135,Wychwood,94,14349,43.6821217,-79.423838837568,0,Ice Cream Shop,Café,BBQ Joint,Farmers Market,Event Space,Indian Restaurant,Portuguese Restaurant,Italian Restaurant,Distribution Center,Farm,Cafes/Bakeries/ Mediterranean
136,Yonge-Eglinton,100,11817,43.706747899999996,-79.39832709999999,0,Bookstore,Italian Restaurant,Plaza,Ramen Restaurant,Restaurant,Supermarket,Yoga Studio,Coffee Shop,Vietnamese Restaurant,Egyptian Restaurant,Cafes/Bakeries/ Mediterranean
137,Yonge-St.Clair,97,12528,43.6880189,-79.3945708,0,Italian Restaurant,Yoga Studio,Tea Room,Bagel Shop,Restaurant,Sushi Restaurant,Café,Chiropractor,American Restaurant,Electronics Store,Cafes/Bakeries/ Mediterranean
138,York University Heights,27,27593,43.7587808,-79.51943359999999,2,Coffee Shop,Grocery Store,Pharmacy,Sandwich Place,Fast Food Restaurant,Beer Store,Fried Chicken Joint,Gas Station,Pizza Place,Vietnamese Restaurant,"Services (Banking, Hotels, Shopping)"
139,Yorkdale-Glen Park,31,14804,43.7064433,-79.4526856,2,Pizza Place,Grocery Store,Mediterranean Restaurant,Paintball Field,Bank,Latin American Restaurant,Rental Car Location,Gas Station,Fast Food Restaurant,Ice Cream Shop,"Services (Banking, Hotels, Shopping)"
141,Crescent Town,,2007,43.695403,-79.293099,1,Convenience Store,Golf Course,Metro Station,Park,Cuban Restaurant,Dog Run,Farmers Market,Farm,Event Space,Cosmetics Shop,Outdoors/Fitness/Fast Food
